image_index,objects
10,"[{'index': 0, 'shape': 'cube', 'size': 'small', 'color': 'green', 'texture': 'metal', 'RtoL': 7, 'FtoB': 5}, {'index': 1, 'shape': 'cube', 'size': 'large', 'color': 'red', 'texture': 'metal', 'RtoL': 0, 'FtoB': 4}, {'index': 2, 'shape': 'cube', 'size': 'large', 'color': 'yellow', 'texture': 'rubber', 'RtoL': 2, 'FtoB': 7}, {'index': 3, 'shape': 'sphere', 'size': 'large', 'color': 'cyan', 'texture': 'metal', 'RtoL': 9, 'FtoB': 6}, {'index': 4, 'shape': 'cube', 'size': 'small', 'color': 'green', 'texture': 'metal', 'RtoL': 5, 'FtoB': 0}, {'index': 5, 'shape': 'cube', 'size': 'small', 'color': 'yellow', 'texture': 'rubber', 'RtoL': 3, 'FtoB': 1}, {'index': 6, 'shape': 'cylinder', 'size': 'small', 'color': 'green', 'texture': 'metal', 'RtoL': 4, 'FtoB': 8}, {'index': 7, 'shape': 'cylinder', 'size': 'small', 'color': 'red', 'texture': 'metal', 'RtoL': 1, 'FtoB': 3}, {'index': 8, 'shape': 'cylinder', 'size': 'small', 'color': 'green', 'texture': 'rubber', 'RtoL': 6, 'FtoB': 9}, {'index': 9, 'shape': 'sphere', 'size': 'large', 'color': 'red', 'texture': 'metal', 'RtoL': 8, 'FtoB': 2}]"
11,"[{'index': 0, 'shape': 'cube', 'size': 'small', 'color': 'cyan', 'texture': 'metal', 'RtoL': 1, 'FtoB': 6}, {'index': 1, 'shape': 'cylinder', 'size': 'large', 'color': 'purple', 'texture': 'rubber', 'RtoL': 4, 'FtoB': 2}, {'index': 2, 'shape': 'sphere', 'size': 'large', 'color': 'purple', 'texture': 'metal', 'RtoL': 3, 'FtoB': 5}, {'index': 3, 'shape': 'sphere', 'size': 'large', 'color': 'green', 'texture': 'metal', 'RtoL': 6, 'FtoB': 3}, {'index': 4, 'shape': 'cylinder', 'size': 'small', 'color': 'purple', 'texture': 'metal', 'RtoL': 2, 'FtoB': 1}, {'index': 5, 'shape': 'cylinder', 'size': 'large', 'color': 'blue', 'texture': 'metal', 'RtoL': 5, 'FtoB': 0}, {'index': 6, 'shape': 'cylinder', 'size': 'large', 'color': 'brown', 'texture': 'rubber', 'RtoL': 0, 'FtoB': 4}]"
12,"[{'index': 0, 'shape': 'cylinder', 'size': 'small', 'color': 'blue', 'texture': 'metal', 'RtoL': 4, 'FtoB': 0}, {'index': 1, 'shape': 'sphere', 'size': 'small', 'color': 'yellow', 'texture': 'rubber', 'RtoL': 3, 'FtoB': 6}, {'index': 2, 'shape': 'cube', 'size': 'small', 'color': 'brown', 'texture': 'rubber', 'RtoL': 0, 'FtoB': 4}, {'index': 3, 'shape': 'cylinder', 'size': 'large', 'color': 'cyan', 'texture': 'metal', 'RtoL': 5, 'FtoB': 2}, {'index': 4, 'shape': 'sphere', 'size': 'small', 'color': 'cyan', 'texture': 'rubber', 'RtoL': 2, 'FtoB': 7}, {'index': 5, 'shape': 'cylinder', 'size': 'small', 'color': 'green', 'texture': 'metal', 'RtoL': 7, 'FtoB': 3}, {'index': 6, 'shape': 'cylinder', 'size': 'small', 'color': 'green', 'texture': 'rubber', 'RtoL': 1, 'FtoB': 1}, {'index': 7, 'shape': 'sphere', 'size': 'small', 'color': 'cyan', 'texture': 'rubber', 'RtoL': 6, 'FtoB': 5}]"
13,"[{'index': 0, 'shape': 'cylinder', 'size': 'small', 'color': 'gray', 'texture': 'rubber', 'RtoL': 4, 'FtoB': 9}, {'index': 1, 'shape': 'cylinder', 'size': 'large', 'color': 'brown', 'texture': 'metal', 'RtoL': 7, 'FtoB': 1}, {'index': 2, 'shape': 'sphere', 'size': 'small', 'color': 'purple', 'texture': 'metal', 'RtoL': 2, 'FtoB': 2}, {'index': 3, 'shape': 'cube', 'size': 'small', 'color': 'cyan', 'texture': 'rubber', 'RtoL': 1, 'FtoB': 6}, {'index': 4, 'shape': 'cylinder', 'size': 'large', 'color': 'yellow', 'texture': 'metal', 'RtoL': 5, 'FtoB': 0}, {'index': 5, 'shape': 'cylinder', 'size': 'small', 'color': 'green', 'texture': 'metal', 'RtoL': 6, 'FtoB': 8}, {'index': 6, 'shape': 'cylinder', 'size': 'large', 'color': 'red', 'texture': 'metal', 'RtoL': 9, 'FtoB': 3}, {'index': 7, 'shape': 'cylinder', 'size': 'large', 'color': 'blue', 'texture': 'rubber', 'RtoL': 0, 'FtoB': 4}, {'index': 8, 'shape': 'cube', 'size': 'small', 'color': 'blue', 'texture': 'rubber', 'RtoL': 8, 'FtoB': 5}, {'index': 9, 'shape': 'cube', 'size': 'small', 'color': 'brown', 'texture': 'rubber', 'RtoL': 3, 'FtoB': 7}]"
14,"[{'index': 0, 'shape': 'sphere', 'size': 'small', 'color': 'green', 'texture': 'metal', 'RtoL': 3, 'FtoB': 1}, {'index': 1, 'shape': 'sphere', 'size': 'small', 'color': 'blue', 'texture': 'rubber', 'RtoL': 0, 'FtoB': 0}, {'index': 2, 'shape': 'sphere', 'size': 'small', 'color': 'green', 'texture': 'rubber', 'RtoL': 1, 'FtoB': 2}, {'index': 3, 'shape': 'cube', 'size': 'small', 'color': 'red', 'texture': 'rubber', 'RtoL': 2, 'FtoB': 3}]"
15,"[{'index': 0, 'shape': 'sphere', 'size': 'large', 'color': 'yellow', 'texture': 'metal', 'RtoL': 3, 'FtoB': 0}, {'index': 1, 'shape': 'sphere', 'size': 'large', 'color': 'brown', 'texture': 'metal', 'RtoL': 2, 'FtoB': 2}, {'index': 2, 'shape': 'cylinder', 'size': 'large', 'color': 'brown', 'texture': 'rubber', 'RtoL': 0, 'FtoB': 1}, {'index': 3, 'shape': 'sphere', 'size': 'large', 'color': 'brown', 'texture': 'rubber', 'RtoL': 4, 'FtoB': 3}, {'index': 4, 'shape': 'cube', 'size': 'large', 'color': 'purple', 'texture': 'rubber', 'RtoL': 1, 'FtoB': 4}]"
16,"[{'index': 0, 'shape': 'cylinder', 'size': 'small', 'color': 'gray', 'texture': 'metal', 'RtoL': 2, 'FtoB': 2}, {'index': 1, 'shape': 'cylinder', 'size': 'small', 'color': 'yellow', 'texture': 'rubber', 'RtoL': 1, 'FtoB': 1}, {'index': 2, 'shape': 'cylinder', 'size': 'large', 'color': 'cyan', 'texture': 'metal', 'RtoL': 0, 'FtoB': 0}]"
17,"[{'index': 0, 'shape': 'cube', 'size': 'small', 'color': 'green', 'texture': 'rubber', 'RtoL': 2, 'FtoB': 6}, {'index': 1, 'shape': 'sphere', 'size': 'small', 'color': 'purple', 'texture': 'metal', 'RtoL': 3, 'FtoB': 5}, {'index': 2, 'shape': 'sphere', 'size': 'small', 'color': 'brown', 'texture': 'metal', 'RtoL': 0, 'FtoB': 2}, {'index': 3, 'shape': 'cube', 'size': 'large', 'color': 'brown', 'texture': 'metal', 'RtoL': 4, 'FtoB': 4}, {'index': 4, 'shape': 'sphere', 'size': 'large', 'color': 'cyan', 'texture': 'rubber', 'RtoL': 1, 'FtoB': 1}, {'index': 5, 'shape': 'cylinder', 'size': 'large', 'color': 'yellow', 'texture': 'rubber', 'RtoL': 5, 'FtoB': 0}, {'index': 6, 'shape': 'cube', 'size': 'large', 'color': 'gray', 'texture': 'metal', 'RtoL': 6, 'FtoB': 3}]"
18,"[{'index': 0, 'shape': 'sphere', 'size': 'large', 'color': 'blue', 'texture': 'metal', 'RtoL': 1, 'FtoB': 2}, {'index': 1, 'shape': 'cylinder', 'size': 'large', 'color': 'purple', 'texture': 'metal', 'RtoL': 0, 'FtoB': 0}, {'index': 2, 'shape': 'cube', 'size': 'small', 'color': 'green', 'texture': 'metal', 'RtoL': 2, 'FtoB': 1}]"
19,"[{'index': 0, 'shape': 'cylinder', 'size': 'large', 'color': 'red', 'texture': 'metal', 'RtoL': 6, 'FtoB': 4}, {'index': 1, 'shape': 'sphere', 'size': 'large', 'color': 'yellow', 'texture': 'metal', 'RtoL': 3, 'FtoB': 3}, {'index': 2, 'shape': 'cube', 'size': 'large', 'color': 'cyan', 'texture': 'metal', 'RtoL': 5, 'FtoB': 0}, {'index': 3, 'shape': 'cube', 'size': 'small', 'color': 'yellow', 'texture': 'metal', 'RtoL': 1, 'FtoB': 1}, {'index': 4, 'shape': 'cube', 'size': 'large', 'color': 'green', 'texture': 'rubber', 'RtoL': 4, 'FtoB': 6}, {'index': 5, 'shape': 'sphere', 'size': 'small', 'color': 'red', 'texture': 'metal', 'RtoL': 0, 'FtoB': 2}, {'index': 6, 'shape': 'cylinder', 'size': 'small', 'color': 'red', 'texture': 'metal', 'RtoL': 2, 'FtoB': 5}]"
