image_index,histogram
10,"{'color': {'green': 4, 'red': 3, 'yellow': 2, 'cyan': 1}, 'shape': {'cube': 5, 'sphere': 2, 'cylinder': 3}, 'size': {'small': 6, 'large': 4}, 'texture': {'metal': 7, 'rubber': 3}, 'RtoL_position': {'left': 5, 'right': 5}, 'FtoB_position': {'front': 5, 'back': 5}}"
11,"{'color': {'cyan': 1, 'purple': 3, 'green': 1, 'blue': 1, 'brown': 1}, 'shape': {'cube': 1, 'cylinder': 4, 'sphere': 2}, 'size': {'small': 2, 'large': 5}, 'texture': {'metal': 5, 'rubber': 2}, 'RtoL_position': {'left': 4, 'right': 3}, 'FtoB_position': {'front': 3, 'back': 4}}"
12,"{'color': {'blue': 1, 'yellow': 1, 'brown': 1, 'cyan': 3, 'green': 2}, 'shape': {'cylinder': 4, 'sphere': 3, 'cube': 1}, 'size': {'small': 7, 'large': 1}, 'texture': {'metal': 3, 'rubber': 5}, 'RtoL_position': {'left': 4, 'right': 4}, 'FtoB_position': {'front': 4, 'back': 4}}"
13,"{'color': {'gray': 1, 'brown': 2, 'purple': 1, 'cyan': 1, 'yellow': 1, 'green': 1, 'red': 1, 'blue': 2}, 'shape': {'cylinder': 6, 'sphere': 1, 'cube': 3}, 'size': {'small': 6, 'large': 4}, 'texture': {'rubber': 5, 'metal': 5}, 'RtoL_position': {'left': 5, 'right': 5}, 'FtoB_position': {'front': 5, 'back': 5}}"
14,"{'color': {'green': 2, 'blue': 1, 'red': 1}, 'shape': {'sphere': 3, 'cube': 1}, 'size': {'small': 4}, 'texture': {'metal': 1, 'rubber': 3}, 'RtoL_position': {'left': 2, 'right': 2}, 'FtoB_position': {'front': 2, 'back': 2}}"
15,"{'color': {'yellow': 1, 'brown': 3, 'purple': 1}, 'shape': {'sphere': 3, 'cylinder': 1, 'cube': 1}, 'size': {'large': 5}, 'texture': {'metal': 2, 'rubber': 3}, 'RtoL_position': {'left': 3, 'right': 2}, 'FtoB_position': {'front': 2, 'back': 3}}"
16,"{'color': {'gray': 1, 'yellow': 1, 'cyan': 1}, 'shape': {'cylinder': 3}, 'size': {'small': 2, 'large': 1}, 'texture': {'metal': 2, 'rubber': 1}, 'RtoL_position': {'left': 2, 'right': 1}, 'FtoB_position': {'front': 1, 'back': 2}}"
17,"{'color': {'green': 1, 'purple': 1, 'brown': 2, 'cyan': 1, 'yellow': 1, 'gray': 1}, 'shape': {'cube': 3, 'sphere': 3, 'cylinder': 1}, 'size': {'small': 3, 'large': 4}, 'texture': {'rubber': 3, 'metal': 4}, 'RtoL_position': {'left': 4, 'right': 3}, 'FtoB_position': {'front': 3, 'back': 4}}"
18,"{'color': {'blue': 1, 'purple': 1, 'green': 1}, 'shape': {'sphere': 1, 'cylinder': 1, 'cube': 1}, 'size': {'large': 2, 'small': 1}, 'texture': {'metal': 3}, 'RtoL_position': {'left': 2, 'right': 1}, 'FtoB_position': {'front': 1, 'back': 2}}"
19,"{'color': {'red': 3, 'yellow': 2, 'cyan': 1, 'green': 1}, 'shape': {'cylinder': 2, 'sphere': 2, 'cube': 3}, 'size': {'large': 4, 'small': 3}, 'texture': {'metal': 6, 'rubber': 1}, 'RtoL_position': {'left': 4, 'right': 3}, 'FtoB_position': {'front': 3, 'back': 4}}"
